Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage_kmpl,Engine_CC,Power_bhp,Seats,Price_INR,Type of Car,Car Model,price rate,Car_Age,Avg_KM_Per_Year
Nissan Micra Diesel XV,Hyderabad,2012,54000.0,Diesel,Manual,First,23.08,1461,63.1,5,425000.0,Nissan,Micra,Economy,7,7714.285714285715
Maruti Alto K10 2010-2014 VXI,Hyderabad,2013,54000.0,Petrol,Manual,Second,20.92,998,67.1,5,275000.0,Maruti,Alto,Economy,6,9000.0
Honda WRV i-VTEC VX,Kochi,2018,37430.0,Petrol,Manual,First,17.5,1199,88.7,5,990000.0,Honda,WRV,Mid-range,1,37430.0
Toyota Innova 2.5 V Diesel 7-seater,Mumbai,2007,262000.0,Diesel,Manual,Fourth & Above,12.8,2494,102.0,7,400000.0,Toyota,Innova,Economy,12,21833.333333333332
Renault Duster 110PS Diesel RxZ Pack,Bangalore,2013,62000.0,Diesel,Manual,First,19.01,1461,108.45,5,775000.0,Renault,Duster,Mid-range,6,10333.333333333334
Toyota Corolla Altis G,Delhi,2012,87615.0,Petrol,Manual,First,14.53,1798,138.1,5,675000.0,Toyota,Corolla,Mid-range,7,12516.42857142857
Mahindra Ssangyong Rexton RX7,Bangalore,2013,72000.0,Diesel,Automatic,Second,11.18,2696,184.0,7,1250000.0,Mahindra,Ssangyong,Luxury,6,12000.0
Audi A6 2.7 TDI,Kolkata,2010,35000.0,Diesel,Automatic,First,12.4,2698,179.5,5,1150000.0,Audi,A6,Luxury,9,3888.8888888888887
Volkswagen Vento 1.6 Highline,Coimbatore,2014,55431.0,Petrol,Manual,Second,16.09,1598,103.5,5,698000.0,Volkswagen,Vento,Mid-range,5,11086.2
Maruti Wagon R LXI BSIII,Jaipur,2009,83816.0,Petrol,Manual,Second,14.0,1061,64.0,5,185000.0,Maruti,Wagon,Economy,10,8381.6
Maruti Vitara Brezza ZDi Plus,Kochi,2018,50075.0,Diesel,Manual,First,24.3,1248,88.5,5,863000.0000000001,Maruti,Vitara,Mid-range,1,50075.0
Mahindra KUV 100 mFALCON G80 K6 5str AW,Delhi,2017,52000.0,Petrol,Manual,First,18.15,1198,82.0,5,484999.99999999994,Mahindra,KUV,Economy,2,26000.0
Mercedes-Benz M-Class ML 350 CDI,Pune,2013,85000.0,Diesel,Automatic,First,11.74,2987,254.8,5,2800000.0,Mercedes-Benz,M-Class,Ultra-Luxury,6,14166.666666666666
Volkswagen Polo Diesel Trendline 1.2L,Chennai,2013,62000.0,Diesel,Manual,First,22.07,1199,73.9,5,500000.0,Volkswagen,Polo,Mid-range,6,10333.333333333334
Maruti Alto LXi,Delhi,2008,90000.0,Petrol,Manual,Second,19.7,796,46.3,5,125000.0,Maruti,Alto,Economy,11,8181.818181818182
Tata Nano LX SE,Kochi,2014,19698.0,Petrol,Manual,First,25.4,624,37.5,4,153000.0,Tata,Nano,Economy,5,3939.6
Mahindra KUV 100 mFALCON D75 K8 Dual Tone,Coimbatore,2017,22033.0,Diesel,Manual,First,25.32,1198,77.0,6,558000.0,Mahindra,KUV,Mid-range,2,11016.5
Hyundai i20 Magna Optional 1.2,Kochi,2014,35487.0,Petrol,Manual,First,18.5,1197,82.9,5,474000.0,Hyundai,i20,Economy,5,7097.4
Hyundai Elantra 2.0 SX Option AT,Bangalore,2014,46374.0,Petrol,Automatic,First,14.62,1999,149.92,5,885000.0,Hyundai,Elantra,Mid-range,5,9274.8
Toyota Corolla Altis G AT,Mumbai,2016,52001.0,Petrol,Automatic,First,14.28,1798,138.03,5,1011000.0,Toyota,Corolla,Luxury,3,17333.666666666668
Hyundai Elantra CRDi,Ahmedabad,2008,58005.0,Diesel,Manual,Second,14.9,1991,112.2,5,425000.0,Hyundai,Elantra,Economy,11,5273.181818181818
Toyota Innova Crysta 2.7 GX MT,Bangalore,2012,70704.0,Petrol,Manual,First,11.25,2694,163.7,7,1095000.0,Toyota,Innova,Luxury,7,10100.57142857143
Hyundai Xcent 1.1 CRDi S,Jaipur,2014,75000.0,Diesel,Manual,First,24.4,1120,71.0,5,385000.0,Hyundai,Xcent,Economy,5,15000.0
Mahindra Thar CRDe AC,Jaipur,2012,75800.0,Diesel,Manual,Second,16.55,2498,105.0,6,550000.0,Mahindra,Thar,Mid-range,7,10828.57142857143
Audi A4 2.0 TDI 177 Bhp Premium Plus,Kochi,2015,13648.0,Diesel,Automatic,First,17.11,1968,174.33,5,2143000.0,Audi,A4,Ultra-Luxury,4,3412.0
Maruti Swift LDI,Delhi,2014,52000.0,Diesel,Manual,First,22.9,1248,74.0,5,425000.0,Maruti,Swift,Economy,5,10400.0
Maruti Swift Ldi BSIV,Kolkata,2014,53000.0,Diesel,Manual,First,17.8,1248,75.0,5,330000.0,Maruti,Swift,Economy,5,10600.0
Maruti Swift VDI,Delhi,2013,65650.0,Diesel,Manual,First,28.4,1248,74.0,5,385000.0,Maruti,Swift,Economy,6,10941.666666666666
Hyundai Grand i10 Sportz,Chennai,2015,54000.0,Petrol,Manual,Third,18.9,1197,82.0,5,360000.0,Hyundai,Grand,Economy,4,13500.0
Volkswagen Vento 2013-2015 1.6 Comfortline,Kolkata,2015,39000.0,Petrol,Manual,First,15.04,1598,103.2,5,399000.0,Volkswagen,Vento,Economy,4,9750.0
Renault KWID RXT,Kochi,2017,16542.0,Petrol,Manual,First,25.17,799,53.3,5,330000.0,Renault,KWID,Economy,2,8271.0
Hyundai i10 Asta,Kolkata,2010,32000.0,Petrol,Manual,First,20.36,1197,78.9,5,206999.99999999997,Hyundai,i10,Economy,9,3555.5555555555557
Nissan X-Trail SLX AT,Hyderabad,2010,121812.0,Diesel,Automatic,First,13.29,1995,147.6,5,775000.0,Nissan,X-Trail,Mid-range,9,13534.666666666666
Maruti Zen Estilo VXI BSIII,Hyderabad,2010,39300.0,Petrol,Manual,First,18.2,998,67.1,5,225000.0,Maruti,Zen,Economy,9,4366.666666666667
Toyota Innova Crysta 2.4 GX MT 8S,Mumbai,2017,22000.0,Diesel,Manual,First,13.68,2393,147.8,8,1650000.0,Toyota,Innova,Luxury,2,11000.0
Ford Figo Diesel Titanium,Bangalore,2010,72000.0,Diesel,Manual,First,20.0,1399,68.0,5,275000.0,Ford,Figo,Economy,9,8000.0
Mercedes-Benz New C-Class C 200 CGI Avantgarde,Delhi,2015,58000.0,Petrol,Automatic,First,11.74,1796,186.0,5,2670000.0,Mercedes-Benz,New,Ultra-Luxury,4,14500.0
Mercedes-Benz New C-Class 200 CDI Classic,Pune,2011,65000.0,Diesel,Manual,Second,15.8,2148,170.0,5,1000000.0,Mercedes-Benz,New,Luxury,8,8125.0
Tata Indica V2 eLS,Chennai,2016,178000.0,Diesel,Manual,First,25.0,1396,69.0,5,250000.0,Tata,Indica,Economy,3,59333.333333333336
Audi A4 2.0 TDI Multitronic,Jaipur,2012,65664.0,Diesel,Automatic,First,16.55,1968,140.0,5,1350000.0,Audi,A4,Luxury,7,9380.57142857143
Honda City ZX CVT,Mumbai,2007,63000.0,Petrol,Automatic,Second,16.4,1497,78.0,5,185000.0,Honda,City,Economy,12,5250.0
Mercedes-Benz C-Class Progressive C 220d,Coimbatore,2019,15369.0,Diesel,Automatic,First,17.94,1950,194.0,5,3567000.0,Mercedes-Benz,C-Class,Ultra-Luxury,0,inf
Maruti Ertiga SHVS VDI,Pune,2016,63000.0,Diesel,Manual,First,24.52,1248,88.5,7,815000.0,Maruti,Ertiga,Mid-range,3,21000.0
Hyundai Creta 1.4 E Plus Diesel,Mumbai,2018,13000.0,Diesel,Manual,First,22.1,1396,88.7,5,1050000.0,Hyundai,Creta,Luxury,1,13000.0
Porsche Cayenne 2009-2014 Turbo,Mumbai,2008,73000.0,Petrol,Automatic,First,8.5,4806,500.0,5,1450000.0,Porsche,Cayenne,Luxury,11,6636.363636363636
Mahindra XUV500 W8 4WD,Mumbai,2015,55729.0,Diesel,Manual,First,15.1,2179,140.0,7,965000.0,Mahindra,XUV500,Mid-range,4,13932.25
Hyundai i10 Sportz 1.2 AT,Kochi,2012,45178.0,Petrol,Automatic,First,16.95,1197,78.9,5,348000.0,Hyundai,i10,Economy,7,6454.0
Nissan Terrano XV D Pre,Kochi,2015,56066.0,Diesel,Manual,First,19.64,1461,108.5,5,692000.0,Nissan,Terrano,Mid-range,4,14016.5
Honda Brio VX AT,Coimbatore,2016,37300.0,Petrol,Automatic,Second,16.5,1198,86.8,5,646000.0,Honda,Brio,Mid-range,3,12433.333333333334
Audi A6 2.0 TDI Design Edition,Delhi,2014,56000.0,Diesel,Automatic,Second,18.53,1968,187.74,5,2950000.0,Audi,A6,Ultra-Luxury,5,11200.0
Ford Fiesta 1.4 SXi TDCi,Jaipur,2008,111111.0,Diesel,Manual,First,17.8,1399,68.03333333333333,5,200000.0,Ford,Fiesta,Economy,11,10101.0
Toyota Innova 2.0 G1,Chennai,2006,230000.0,Petrol,Manual,Third,12.4,1998,132.0,8,450000.0,Toyota,Innova,Economy,13,17692.30769230769
Toyota Innova 2.5 VX 7 STR BSIV,Hyderabad,2012,104000.0,Diesel,Manual,First,12.8,2494,102.0,7,1175000.0,Toyota,Innova,Luxury,7,14857.142857142857
Hyundai Santro Xing XL,Hyderabad,2005,87591.0,Petrol,Manual,First,18.166666666666668,1086,72.5,5,130000.0,Hyundai,Santro,Economy,14,6256.5
Maruti Swift VDI,Jaipur,2012,95100.0,Diesel,Manual,First,22.9,1248,74.0,5,375000.0,Maruti,Swift,Economy,7,13585.714285714286
Tata Zest Revotron 1.2T XE,Pune,2017,70000.0,Petrol,Manual,First,17.57,1193,88.7,5,450000.0,Tata,Zest,Economy,2,35000.0
Honda Amaze SX i-VTEC,Kochi,2016,54944.0,Petrol,Manual,First,18.0,1198,86.7,5,482000.0,Honda,Amaze,Economy,3,18314.666666666668
Ford Figo Diesel ZXI,Hyderabad,2012,70337.0,Diesel,Manual,First,20.0,1399,68.0,5,280000.0,Ford,Figo,Economy,7,10048.142857142857
Maruti Ritz VDi,Jaipur,2013,99638.0,Diesel,Manual,First,23.2,1248,73.94,5,311000.0,Maruti,Ritz,Economy,6,16606.333333333332
Honda City i VTEC E,Delhi,2009,52000.0,Petrol,Manual,First,17.8,1497,117.3,5,325000.0,Honda,City,Economy,10,5200.0
BMW 5 Series 2003-2012 525d,Delhi,2011,75000.0,Diesel,Automatic,Second,16.73,1995,218.0,5,1390000.0,BMW,5,Luxury,8,9375.0
Hyundai i10 Sportz 1.2,Pune,2009,95980.0,Petrol,Manual,First,20.36,1197,78.9,5,225000.0,Hyundai,i10,Economy,10,9598.0
Hyundai Grand i10 Sportz,Bangalore,2016,16000.0,Petrol,Manual,First,18.9,1197,82.0,5,575000.0,Hyundai,Grand,Mid-range,3,5333.333333333333
Hyundai Santro Xing XO,Hyderabad,2007,73745.0,Petrol,Manual,First,17.0,1086,71.01333333333334,5,210000.0,Hyundai,Santro,Economy,12,6145.416666666667
Honda Amaze SX i-VTEC,Mumbai,2016,18949.0,Petrol,Manual,First,17.8,1198,86.7,5,500000.0,Honda,Amaze,Mid-range,3,6316.333333333333
Toyota Fortuner 4x2 Manual,Delhi,2014,107000.0,Diesel,Manual,First,13.0,2982,168.5,7,1650000.0,Toyota,Fortuner,Luxury,5,21400.0
Audi A6 2011-2015 35 TDI Premium,Coimbatore,2018,48367.0,Diesel,Automatic,First,17.68,1968,174.33,5,3958000.0,Audi,A6,Ultra-Luxury,1,48367.0
Ford Ecosport 1.5 DV5 MT Titanium Optional,Delhi,2013,57000.0,Diesel,Manual,First,22.7,1498,89.84,5,550000.0,Ford,Ecosport,Mid-range,6,9500.0
Mahindra XUV500 W8 2WD,Delhi,2014,58000.0,Diesel,Manual,First,15.1,2179,140.0,7,810000.0,Mahindra,XUV500,Mid-range,5,11600.0
Honda Amaze SX i-DTEC,Kolkata,2015,30000.0,Diesel,Manual,First,25.8,1498,98.6,5,350000.0,Honda,Amaze,Economy,4,7500.0
Volkswagen Polo Diesel Highline 1.2L,Kolkata,2013,34212.0,Diesel,Manual,First,22.07,1199,73.9,5,279000.0,Volkswagen,Polo,Economy,6,5702.0
Hyundai Verna Transform SX VGT CRDi,Ahmedabad,2010,70002.0,Diesel,Manual,First,16.2,1493,110.0,5,345000.0,Hyundai,Verna,Economy,9,7778.0
Maruti Wagon R VXI BS IV,Bangalore,2016,62000.0,Petrol,Manual,First,18.9,998,67.1,5,445000.0,Maruti,Wagon,Economy,3,20666.666666666668
Volkswagen Polo Petrol Highline 1.6L,Delhi,2010,62001.0,Petrol,Manual,First,15.26,1598,103.5,5,265000.0,Volkswagen,Polo,Economy,9,6889.0
Hyundai i20 1.4 CRDi Sportz,Pune,2011,78958.0,Diesel,Manual,Second,23.0,1396,90.0,5,380000.0,Hyundai,i20,Economy,8,9869.75
Hyundai i20 Asta 1.2,Mumbai,2014,30180.0,Petrol,Manual,First,18.5,1197,82.85,5,465000.00000000006,Hyundai,i20,Economy,5,6036.0
Datsun GO Plus T Petrol,Pune,2017,32851.0,Petrol,Manual,First,19.83,1198,67.0,7,395000.0,Datsun,GO,Economy,2,16425.5
Audi A4 3.0 TDI Quattro Premium,Kolkata,2010,30000.0,Diesel,Automatic,First,14.94,2967,241.4,5,980000.0000000001,Audi,A4,Mid-range,9,3333.3333333333335
Hyundai i20 2015-2017 Asta,Pune,2009,66000.0,Petrol,Manual,Second,17.0,1197,80.0,5,270000.0,Hyundai,i20,Economy,10,6600.0
Maruti Omni 5 Str STD,Coimbatore,2010,93850.0,Petrol,Manual,First,14.0,796,35.0,5,241000.0,Maruti,Omni,Economy,9,10427.777777777777
Toyota Etios Liva 1.2 G,Ahmedabad,2014,53000.0,Petrol,Manual,First,17.71,1197,78.9,5,390000.0,Toyota,Etios,Economy,5,10600.0
Jaguar XF 3.0 Litre S Premium Luxury,Hyderabad,2011,78000.0,Diesel,Automatic,Second,14.74,2993,270.9,5,2400000.0,Jaguar,XF,Ultra-Luxury,8,9750.0
Mahindra XUV500 W8 2WD,Delhi,2012,65000.0,Diesel,Manual,Second,16.0,2179,140.0,7,575000.0,Mahindra,XUV500,Mid-range,7,9285.714285714286
Hyundai Verna 1.6 SX CRDI (O) AT,Kolkata,2014,40000.0,Diesel,Automatic,First,22.32,1582,126.32,5,525000.0,Hyundai,Verna,Mid-range,5,8000.0
Toyota Innova Crysta 2.8 ZX AT,Mumbai,2017,30000.0,Diesel,Automatic,First,11.36,2755,171.5,7,1925000.0,Toyota,Innova,Luxury,2,15000.0
Maruti Eeco 5 Seater AC,Coimbatore,2017,38053.0,Petrol,Manual,First,15.1,1196,73.0,5,391000.0,Maruti,Eeco,Economy,2,19026.5
Tata Nano Twist XT,Bangalore,2014,25500.0,Petrol,Manual,First,25.4,624,37.5,4,215000.0,Tata,Nano,Economy,5,5100.0
BMW 3 Series 320d Luxury Line,Mumbai,2015,56087.0,Diesel,Automatic,First,22.69,1995,190.0,5,2075000.0,BMW,3,Ultra-Luxury,4,14021.75
Honda Civic 2006-2010 1.8 V MT,Delhi,2010,71088.0,Petrol,Manual,First,13.5,1799,130.0,5,335000.0,Honda,Civic,Economy,9,7898.666666666667
Toyota Innova 2.5 VX (Diesel) 7 Seater,Ahmedabad,2014,55000.0,Diesel,Manual,First,12.99,2494,100.6,7,1111000.0,Toyota,Innova,Luxury,5,11000.0
Volvo V40 Cross Country D3,Bangalore,2014,32700.0,Diesel,Automatic,First,23.3,1984,150.0,5,2000000.0,Volvo,V40,Ultra-Luxury,5,6540.0
Nissan Micra XV CVT,Coimbatore,2016,39882.0,Petrol,Automatic,First,19.15,1198,75.94,5,655000.0,Nissan,Micra,Mid-range,3,13294.0
BMW 5 Series 2010-2013 525i,Mumbai,2009,128000.0,Petrol,Automatic,First,10.8,2497,215.0,5,700000.0,BMW,5,Mid-range,10,12800.0
Maruti Vitara Brezza VDi,Mumbai,2016,55000.0,Diesel,Manual,First,24.3,1248,88.5,5,750000.0,Maruti,Vitara,Mid-range,3,18333.333333333332
Hyundai Santro Xing XL eRLX Euro III,Mumbai,2005,102000.0,Petrol,Manual,Second,17.0,1086,64.03333333333333,5,85000.0,Hyundai,Santro,Economy,14,7285.714285714285
Mercedes-Benz B Class B200 CDI,Pune,2014,53753.0,Diesel,Automatic,Second,15.0,2143,107.3,5,1675000.0,Mercedes-Benz,B,Luxury,5,10750.6
Hyundai Verna CRDi 1.6 SX Option,Kolkata,2018,10250.0,Diesel,Manual,First,22.0,1582,126.2,5,1095000.0,Hyundai,Verna,Luxury,1,10250.0
Maruti Wagon R LXI BS IV,Pune,2011,43874.0,Petrol,Manual,First,18.9,998,67.1,5,245000.00000000003,Maruti,Wagon,Economy,8,5484.25
Tata Nano XTA,Coimbatore,2017,32684.0,Petrol,Automatic,First,21.9,624,37.48,4,323000.0,Tata,Nano,Economy,2,16342.0
Mahindra Scorpio VLX,Kolkata,2014,42000.0,Diesel,Manual,First,12.05,2179,120.0,8,775000.0,Mahindra,Scorpio,Mid-range,5,8400.0
Mercedes-Benz New C-Class 200 K AT,Kolkata,2009,28352.0,Petrol,Automatic,First,11.7,1796,178.0,5,935000.0,Mercedes-Benz,New,Mid-range,10,2835.2
Maruti Wagon R LXI CNG,Pune,2013,89900.0,CNG,Manual,First,39.9,998,58.16,5,325000.0,Maruti,Wagon,Economy,6,14983.333333333334
Honda CR-V 2.4 MT,Bangalore,2007,47700.0,Petrol,Manual,Second,10.8,2354,152.0,5,525000.0,Honda,CR-V,Mid-range,12,3975.0
Volkswagen Vento 1.5 TDI Comfortline AT,Pune,2015,55000.0,Diesel,Automatic,First,21.21,1498,103.2,5,725000.0,Volkswagen,Vento,Mid-range,4,13750.0
Maruti Ciaz VXi Plus,Kochi,2017,44285.0,Petrol,Manual,First,20.73,1373,91.1,5,747000.0,Maruti,Ciaz,Mid-range,2,22142.5
Mahindra XUV500 AT W10 FWD,Jaipur,2016,54000.0,Diesel,Automatic,First,16.0,2179,140.0,7,1325000.0,Mahindra,XUV500,Luxury,3,18000.0
Maruti Ritz VXI ABS,Coimbatore,2016,30232.0,Petrol,Manual,First,21.1,1197,85.8,5,581000.0,Maruti,Ritz,Mid-range,3,10077.333333333334
Maruti Alto K10 VXI,Hyderabad,2014,88500.0,Petrol,Manual,First,24.07,998,67.1,5,260000.0,Maruti,Alto,Economy,5,17700.0
Mercedes-Benz SLC 43 AMG,Kolkata,2017,13372.0,Petrol,Automatic,First,19.0,2996,362.07,2,5400000.0,Mercedes-Benz,SLC,Ultra-Luxury,2,6686.0
Hyundai Verna VTVT 1.6 AT SX Plus,Kochi,2019,12645.0,Petrol,Automatic,First,17.0,1591,121.3,5,1150000.0,Hyundai,Verna,Luxury,0,inf
Maruti Alto LXi BSIII,Chennai,2010,94385.0,Petrol,Manual,Second,19.7,796,46.3,5,160000.0,Maruti,Alto,Economy,9,10487.222222222223
BMW 1 Series 118d Base,Coimbatore,2015,31821.0,Diesel,Automatic,First,20.58,1995,143.0,5,1722000.0,BMW,1,Luxury,4,7955.25
Honda Jazz 1.2 V CVT i VTEC,Mumbai,2015,12000.0,Petrol,Automatic,First,19.0,1199,88.7,5,600000.0,Honda,Jazz,Mid-range,4,3000.0
Honda Civic 2006-2010 1.8 V MT,Delhi,2012,88578.0,Petrol,Manual,First,13.5,1799,130.0,5,395000.0,Honda,Civic,Economy,7,12654.0
Mercedes-Benz New C-Class C 220 CDI Avantgarde,Kochi,2014,44965.0,Diesel,Automatic,First,19.27,2143,170.0,5,1795000.0,Mercedes-Benz,New,Luxury,5,8993.0
Honda Amaze SX i-DTEC,Kolkata,2014,45044.0,Diesel,Manual,First,25.8,1498,98.6,5,370000.0,Honda,Amaze,Economy,5,9008.8
Maruti Swift VVT VXI,Kochi,2016,34204.0,Petrol,Manual,First,22.0,1197,81.8,5,543000.0,Maruti,Swift,Mid-range,3,11401.333333333334
Hyundai Santro Xing XO eRLX Euro II,Kochi,2008,80759.0,Petrol,Manual,Third,17.0,1086,76.95,5,167000.0,Hyundai,Santro,Economy,11,7341.727272727273
Toyota Fortuner 3.0 Diesel,Coimbatore,2012,91235.0,Diesel,Manual,First,11.5,2982,171.0,7,1349000.0,Toyota,Fortuner,Luxury,7,13033.57142857143
Chevrolet Beat LT Option,Pune,2014,38800.0,Petrol,Manual,First,18.6,1199,76.8,5,285000.0,Chevrolet,Beat,Economy,5,7760.0
Skoda Rapid 1.5 TDI Elegance,Chennai,2013,83000.0,Diesel,Manual,First,21.14,1498,103.52,5,475000.0,Skoda,Rapid,Economy,6,13833.333333333334
Maruti Ciaz 1.4 Alpha,Kochi,2018,41283.0,Petrol,Manual,First,20.73,1373,91.1,5,990000.0,Maruti,Ciaz,Mid-range,1,41283.0
Audi RS5 Coupe,Mumbai,2013,23000.0,Petrol,Automatic,First,11.05,2894,444.0,4,3700000.0,Audi,RS5,Ultra-Luxury,6,3833.3333333333335
BMW 3 Series Luxury Line,Mumbai,2014,48000.0,Diesel,Automatic,First,21.76,1995,190.0,5,2650000.0,BMW,3,Ultra-Luxury,5,9600.0
Audi A4 2.0 TDI 177 Bhp Premium Plus,Coimbatore,2015,48214.0,Diesel,Automatic,First,17.11,1968,174.33,5,2332000.0,Audi,A4,Ultra-Luxury,4,12053.5
Maruti Swift VDI,Chennai,2016,35000.0,Diesel,Manual,First,22.9,1248,74.0,5,625000.0,Maruti,Swift,Mid-range,3,11666.666666666666
Mercedes-Benz S Class 2005 2013 S 500,Kolkata,2010,35277.0,Petrol,Automatic,First,7.81,5461,362.9,5,3000000.0,Mercedes-Benz,S,Ultra-Luxury,9,3919.6666666666665
Skoda Rapid 1.5 TDI AT Elegance Plus Black Package,Coimbatore,2016,54620.0,Diesel,Automatic,First,21.66,1498,103.52,5,986000.0,Skoda,Rapid,Mid-range,3,18206.666666666668
Skoda Superb Elegance 2.0 TDI CR AT,Pune,2012,136997.0,Diesel,Automatic,First,17.2,1968,138.1,5,850000.0,Skoda,Superb,Mid-range,7,19571.0
Hyundai EON Magna Plus,Kochi,2019,14322.0,Petrol,Manual,First,21.1,814,55.2,5,423000.00000000006,Hyundai,EON,Economy,0,inf
Volkswagen Polo Diesel Trendline 1.2L,Jaipur,2012,65634.0,Diesel,Manual,First,22.07,1199,73.9,5,350000.0,Volkswagen,Polo,Economy,7,9376.285714285714
Datsun GO NXT,Kolkata,2016,6000.0,Petrol,Manual,First,20.63,1198,67.06,5,250000.0,Datsun,GO,Economy,3,2000.0
Honda Brio S MT,Kolkata,2013,33280.0,Petrol,Manual,First,19.4,1198,86.8,5,239000.0,Honda,Brio,Economy,6,5546.666666666667
Mercedes-Benz B Class B180,Delhi,2013,29000.0,Petrol,Automatic,First,14.8,1595,120.7,5,1125000.0,Mercedes-Benz,B,Luxury,6,4833.333333333333
Honda City i DTEC V,Kochi,2015,42831.0,Diesel,Manual,First,26.0,1498,98.6,5,711000.0,Honda,City,Mid-range,4,10707.75
Toyota Innova 2.5 G (Diesel) 7 Seater,Ahmedabad,2016,90000.0,Diesel,Manual,First,12.99,2494,100.6,7,1090000.0,Toyota,Innova,Luxury,3,30000.0
Maruti Swift VXI Optional,Ahmedabad,2017,24005.0,Petrol,Manual,First,20.4,1197,81.8,5,620000.0,Maruti,Swift,Mid-range,2,12002.5
